date,open,oil
2012-01-20,597.26,100.389999
2012-01-23,596.52,98.339996
2012-01-24,590.88,99.879997
2012-01-25,592.22,99.199997
2012-01-26,602.26,99.959999
2012-01-27,613.81,99.93
2012-01-30,605.24,100.0
2012-01-31,600.1,98.879997
2012-02-01,607.74,98.379997
2012-02-02,613.91,97.110001
2012-02-03,622.92,96.610001
2012-02-06,625.75,97.739998
2012-02-07,633.12,97.129997
2012-02-08,640.18,98.769997
2012-02-09,666.18,99.099998
2012-02-10,652.91,99.889999
2012-02-13,647.13,99.330002
2012-02-14,636.54,100.730003
2012-02-15,634.1,100.900002
2012-02-16,634.48,101.900002
2012-02-17,647.15,102.349998
2012-02-20,651.88,102.349998
2012-02-21,653.85,104.650002
2012-02-22,648.11,106.010002
2012-02-23,630.34,105.949997
2012-02-24,623.77,108.660004
2012-02-27,618.43,109.669998
2012-02-28,623.44,107.949997
2012-02-29,612.62,106.459999
2012-03-01,611.78,106.82
2012-03-02,613.96,108.75
2012-03-05,605.96,106.75
2012-03-06,590.3,107.110001
2012-03-07,588.38,104.93
2012-03-08,594.89,106.239998
2012-03-09,600.77,106.910004
2012-03-12,593.92,107.5
2012-03-13,604.39,106.550003
2012-03-14,599.66,106.690002
2012-03-15,605.23,105.5
2012-03-16,609.52,105.440002
2012-03-19,604.39,107.18
2012-03-20,602.17,107.82
2012-03-21,594.86,106.330002
2012-03-22,591.79,106.809998
2012-03-23,597.32,105.519997
2012-03-26,598.56,106.790001
2012-03-27,598.89,107.089996
2012-03-28,585.49,106.809998
2012-03-29,581.09,105.580002
2012-03-30,581.37,103.290001
2012-04-02,579.94,103.269997
2012-04-03,577.96,105.040001
2012-04-04,565.38,104.089996
2012-04-05,567.7,101.959999
2012-04-06,568.16,101.959999
2012-04-09,561.46,102.529999
2012-04-10,557.07,102.330002
2012-04-11,562.04,100.940002
2012-04-12,564.32,102.550003
2012-04-13,555.0,103.660004
2012-04-16,555.04,102.800003
2012-04-17,563.48,103.150002
2012-04-18,559.08,104.220001
2012-04-19,554.11,102.730003
2012-04-20,550.87,102.57
2012-04-23,536.03,103.82
2012-04-24,537.85,103.110001
2012-04-25,540.18,103.760002
2012-04-26,538.96,103.959999
2012-04-27,542.33,104.099998
2012-04-30,540.01,104.93
2012-05-01,542.43,104.889999
2012-05-02,538.81,105.980003
2012-05-03,529.32,105.389999
2012-05-04,526.04,102.589996
2012-05-07,519.56,98.050003
2012-05-08,514.76,97.959999
2012-05-09,508.89,97.379997
2012-05-10,512.06,96.449997
2012-05-11,507.13,96.529999
2012-05-14,494.47,95.790001
2012-05-15,481.24,93.910004
2012-05-16,472.39,93.160004
2012-05-17,465.14,92.769997
2012-05-18,450.58,92.860001
2012-05-21,451.45,91.269997
2012-05-22,453.62,92.639999
2012-05-23,447.71,91.540001
2012-05-24,448.81,90.529999
2012-05-25,448.13,90.790001
2012-05-28,449.93,90.790001
2012-05-29,453.12,91.0
2012-05-30,447.84,90.860001
2012-05-31,444.92,87.550003
2012-06-01,435.84,86.440002
2012-06-04,431.72,82.959999
2012-06-05,436.2,84.139999
2012-06-06,442.27,84.120003
2012-06-07,445.22,85.5
2012-06-08,444.9,83.629997
2012-06-11,441.13,85.720001
2012-06-12,447.17,81.18
2012-06-13,444.89,83.510002
2012-06-14,444.48,82.440002
2012-06-15,456.3,84.33000200000002
2012-06-18,455.9,85.089996
2012-06-19,463.92,83.059998
2012-06-20,468.53,84.040001
2012-06-21,458.73,81.08000200000002
2012-06-22,457.55,78.110001
2012-06-25,449.48,80.199997
2012-06-26,446.13,79.230003
2012-06-27,449.87,79.470001
2012-06-28,449.32,80.480003
2012-06-29,462.52,78.459999
2012-07-02,464.41,84.650002
2012-07-03,469.36,84.650002
2012-07-04,469.53,84.650002
2012-07-05,462.56,87.75
2012-07-06,457.83,86.730003
2012-07-09,449.27,84.199997
2012-07-10,446.75,85.839996
2012-07-11,446.27,84.010002
2012-07-12,442.54,86.199997
2012-07-13,441.76,85.860001
2012-07-16,440.15,87.129997
2012-07-17,436.39,88.260002
2012-07-18,428.3,89.129997
2012-07-19,429.52,90.080002
2012-07-20,419.67,92.220001
2012-07-23,406.98,91.610001
2012-07-24,398.53,88.050003
2012-07-25,392.63,88.199997
2012-07-26,399.72,89.099998
2012-07-27,406.01,89.43
2012-07-30,399.04,90.139999
2012-07-31,406.05,89.66999799999998
2012-08-01,402.17,88.029999
2012-08-02,402.68,88.870003
2012-08-03,409.97,87.260002
2012-08-06,421.9,91.339996
2012-08-07,431.86,92.050003
